team_comp,unlock_synergies,score,ratio
Aphelios/Braum/Diana/Leona/Nunu/Rell,5,5,0.71
Aphelios/Braum/Diana/Leona/Nunu/Rengar,5,5,0.71
Aphelios/Braum/Diana/Leona/Nunu/Sejuani,5,5,0.62
Aphelios/Braum/Diana/Leona/Rell/Sejuani,5,5,0.62
Aphelios/Braum/Diana/Leona/Rengar/Sejuani,5,5,0.62
Aphelios/Braum/Diana/Leona/Rengar/Senna,5,5,0.71
Aphelios/Braum/Diana/Leona/Rengar/Twitch,5,5,0.62
Aphelios/Braum/Diana/Leona/Rengar/Yone,5,5,0.71
Aphelios/Braum/Diana/Leona/Rengar/Zeri,5,5,0.71
Aphelios/Braum/Diana/Lillia/Rengar/Sejuani,5,5,0.62
Aphelios/Braum/Diana/Nasus/Rell/Sejuani,5,5,0.62
Aphelios/Braum/Diana/Nasus/Rengar/Sejuani,5,5,0.62
Aphelios/Braum/Diana/Nasus/Rengar/Senna,5,5,0.71
Aphelios/Braum/Diana/Nasus/Rengar/Twitch,5,5,0.62
Aphelios/Braum/Diana/Nasus/Rengar/Zeri,5,5,0.71
Aphelios/Braum/Diana/Nunu/Rengar/Sejuani,5,5,0.62
Aphelios/Braum/Diana/Qiyana/Rakan/Senna,5,5,0.62
Aphelios/Braum/Diana/Qiyana/Rell/Sejuani,5,5,0.62
Aphelios/Braum/Diana/Rakan/Rell/Sejuani,5,5,0.56
Aphelios/Braum/Diana/Rakan/Rell/Senna,5,5,0.62
Aphelios/Braum/Diana/Rakan/Rengar/Sejuani,5,5,0.56
Aphelios/Braum/Diana/Rakan/Rengar/Senna,6,6,0.86
Aphelios/Braum/Diana/Rakan/Rengar/Seraphine,5,5,0.56
Aphelios/Braum/Diana/Rakan/Rengar/Sett,5,5,0.62
Aphelios/Braum/Diana/Rakan/Rengar/Twitch,5,5,0.56
Aphelios/Braum/Diana/Rakan/Rengar/Zeri,5,5,0.62
Aphelios/Braum/Diana/Rakan/Sejuani/Senna,5,5,0.56
Aphelios/Braum/Diana/Rakan/Senna/Seraphine,5,5,0.56
Aphelios/Braum/Diana/Rakan/Senna/Twitch,5,5,0.56
Aphelios/Braum/Diana/Rell/Rengar/Sejuani,5,5,0.71
Aphelios/Braum/Diana/Rell/Sejuani/Senna,5,5,0.62
Aphelios/Braum/Diana/Rell/Sejuani/Zac,5,5,0.62
Aphelios/Braum/Diana/Rell/Sejuani/Zeri,5,5,0.62
Aphelios/Braum/Diana/Rengar/Sejuani/Senna,5,5,0.62
Aphelios/Braum/Diana/Rengar/Sejuani/Zac,5,5,0.62
Aphelios/Braum/Diana/Rengar/Sejuani/Zeri,5,5,0.62
Aphelios/Braum/Diana/Rengar/Senna/Zac,5,5,0.71
Aphelios/Braum/Diana/Rengar/Twitch/Zac,5,5,0.62
Aphelios/Braum/Diana/Rengar/Zac/Zeri,5,5,0.83
Aphelios/Braum/Ezreal/Lillia/Rell/Twitch,5,5,0.56
Aphelios/Braum/Ezreal/Rakan/Senna/Twitch,5,5,0.56
Aphelios/Braum/Jax/Leona/Olaf/Yone,5,5,0.56
Aphelios/Braum/Jax/Olaf/Rakan/Senna,5,5,0.5
Aphelios/Braum/Jax/Olaf/Rell/Sejuani,5,5,0.5
Aphelios/Braum/Leona/Lillia/Nunu/Rell,5,6,0.71
Aphelios/Braum/Leona/Lillia/Nunu/Rengar,5,5,0.62
Aphelios/Braum/Leona/Lillia/Nunu/Sejuani,5,6,0.62
Aphelios/Braum/Leona/Lillia/Nunu/Senna,5,5,0.62
Aphelios/Braum/Leona/Lillia/Nunu/Twitch,5,5,0.56
Aphelios/Braum/Leona/Lillia/Nunu/Zeri,5,5,0.62
Aphelios/Braum/Leona/Lillia/Rell/Sejuani,5,6,0.62
Aphelios/Braum/Leona/Lillia/Rell/Senna,5,5,0.62
Aphelios/Braum/Leona/Lillia/Rell/Twitch,5,5,0.56
Aphelios/Braum/Leona/Lillia/Rell/Yone,5,5,0.62
Aphelios/Braum/Leona/Lillia/Rell/Zeri,5,5,0.62
Aphelios/Braum/Leona/Lillia/Rengar/Sejuani,5,5,0.56
Aphelios/Braum/Leona/Lillia/Sejuani/Senna,5,5,0.56
Aphelios/Braum/Leona/Lillia/Sejuani/Yone,5,5,0.56
Aphelios/Braum/Leona/Lillia/Sejuani/Zeri,5,5,0.56
Aphelios/Braum/Leona/Malphite/Olaf/Yone,5,5,0.62
Aphelios/Braum/Leona/Nunu/Olaf/Rell,5,5,0.62
Aphelios/Braum/Leona/Nunu/Olaf/Sejuani,5,5,0.56
Aphelios/Braum/Leona/Nunu/Rell/Senna,5,5,0.71
Aphelios/Braum/Leona/Nunu/Rell/Zeri,5,5,0.71
Aphelios/Braum/Leona/Nunu/Rengar/Sejuani,5,5,0.62
Aphelios/Braum/Leona/Nunu/Sejuani/Senna,5,5,0.62
Aphelios/Braum/Leona/Nunu/Sejuani/Zeri,5,5,0.62
Aphelios/Braum/Leona/Olaf/Rell/Sejuani,5,5,0.56
Aphelios/Braum/Leona/Olaf/Rell/Yone,5,5,0.62
Aphelios/Braum/Leona/Olaf/Rengar/Yone,5,5,0.62
Aphelios/Braum/Leona/Olaf/Sejuani/Yone,5,5,0.56
Aphelios/Braum/Leona/Olaf/Senna/Yone,5,5,0.62
Aphelios/Braum/Leona/Olaf/Skarner/Yone,5,5,0.62
Aphelios/Braum/Leona/Olaf/Sylas/Yone,5,5,0.56
Aphelios/Braum/Leona/Olaf/Twitch/Yone,5,5,0.56
Aphelios/Braum/Leona/Olaf/Yone/Zeri,5,5,0.62
Aphelios/Braum/Leona/Rell/Sejuani/Senna,5,5,0.62
Aphelios/Braum/Leona/Rell/Sejuani/Yone,5,5,0.62
Aphelios/Braum/Leona/Rell/Sejuani/Zeri,5,5,0.62
Aphelios/Braum/Lillia/Nasus/Rell/Sejuani,5,6,0.62
Aphelios/Braum/Lillia/Nasus/Rell/Senna,5,5,0.62
Aphelios/Braum/Lillia/Nasus/Rell/Twitch,5,5,0.56
Aphelios/Braum/Lillia/Nasus/Rell/Zeri,5,5,0.62
Aphelios/Braum/Lillia/Nasus/Rengar/Sejuani,5,5,0.56
Aphelios/Braum/Lillia/Nasus/Sejuani/Senna,5,5,0.56
Aphelios/Braum/Lillia/Nasus/Sejuani/Zeri,5,5,0.56
Aphelios/Braum/Lillia/Nunu/Rakan/Senna,5,5,0.56
Aphelios/Braum/Lillia/Qiyana/Rengar/Sejuani,5,5,0.56
Aphelios/Braum/Lillia/Rakan/Rell/Sejuani,5,6,0.56
Aphelios/Braum/Lillia/Rakan/Rell/Senna,6,6,0.75
Aphelios/Braum/Lillia/Rakan/Rell/Seraphine,5,5,0.5
Aphelios/Braum/Lillia/Rakan/Rell/Sett,5,5,0.56
Aphelios/Braum/Lillia/Rakan/Rell/Twitch,5,5,0.5
Aphelios/Braum/Lillia/Rakan/Rell/Zeri,5,5,0.56
Aphelios/Braum/Lillia/Rakan/Rengar/Sejuani,5,5,0.5
Aphelios/Braum/Lillia/Rakan/Rengar/Senna,5,5,0.56
Aphelios/Braum/Lillia/Rakan/Sejuani/Senna,6,6,0.67
Aphelios/Braum/Lillia/Rakan/Sejuani/Seraphine,5,5,0.45
Aphelios/Braum/Lillia/Rakan/Sejuani/Sett,5,5,0.5
Aphelios/Braum/Lillia/Rakan/Sejuani/Zeri,5,5,0.5
Aphelios/Braum/Lillia/Rakan/Senna/Seraphine,5,5,0.5
Aphelios/Braum/Lillia/Rakan/Senna/Twitch,5,5,0.5
Aphelios/Braum/Lillia/Rell/Sejuani/Senna,5,6,0.62
Aphelios/Braum/Lillia/Rell/Sejuani/Zac,5,6,0.62
Aphelios/Braum/Lillia/Rell/Sejuani/Zeri,5,6,0.62
Aphelios/Braum/Lillia/Rell/Senna/Sett,5,5,0.62
Aphelios/Braum/Lillia/Rell/Senna/Twitch,5,5,0.56
Aphelios/Braum/Lillia/Rell/Senna/Zac,5,5,0.62
Aphelios/Braum/Lillia/Rell/Twitch/Varus,5,5,0.56
Aphelios/Braum/Lillia/Rell/Twitch/Zac,5,5,0.56
Aphelios/Braum/Lillia/Rell/Twitch/Zeri,5,5,0.56
Aphelios/Braum/Lillia/Rell/Zac/Zeri,5,5,0.71
Aphelios/Braum/Lillia/Rengar/Sejuani/Senna,5,5,0.56
Aphelios/Braum/Lillia/Rengar/Sejuani/Zac,5,5,0.56
Aphelios/Braum/Lillia/Rengar/Sejuani/Zeri,5,5,0.56
Aphelios/Braum/Lillia/Sejuani/Senna/Sett,5,5,0.56
Aphelios/Braum/Lillia/Sejuani/Senna/Zac,5,5,0.56
Aphelios/Braum/Lillia/Sejuani/Zac/Zeri,5,5,0.62
Aphelios/Braum/Malphite/Olaf/Rakan/Senna,5,5,0.56
Aphelios/Braum/Malphite/Olaf/Rell/Sejuani,5,5,0.56
Aphelios/Braum/Malphite/Olaf/Zac/Zeri,5,5,0.71
Aphelios/Braum/Nasus/Olaf/Rell/Sejuani,5,5,0.56
Aphelios/Braum/Nasus/Rell/Sejuani/Senna,5,5,0.62
Aphelios/Braum/Nasus/Rell/Sejuani/Zeri,5,5,0.62
Aphelios/Braum/Nunu/Olaf/Rell/Yone,5,5,0.62
Aphelios/Braum/Nunu/Olaf/Sejuani/Yone,5,5,0.56
Aphelios/Braum/Nunu/Rakan/Rell/Senna,5,5,0.62
Aphelios/Braum/Nunu/Rakan/Sejuani/Senna,5,5,0.56
Aphelios/Braum/Olaf/Rakan/Rell/Sejuani,5,5,0.5
Aphelios/Braum/Olaf/Rakan/Rell/Senna,5,5,0.56
Aphelios/Braum/Olaf/Rakan/Rengar/Senna,5,5,0.56
Aphelios/Braum/Olaf/Rakan/Sejuani/Senna,5,5,0.5
Aphelios/Braum/Olaf/Rakan/Senna/Seraphine,5,5,0.5
Aphelios/Braum/Olaf/Rakan/Senna/Skarner,5,5,0.56
Aphelios/Braum/Olaf/Rakan/Senna/Sylas,5,5,0.5
Aphelios/Braum/Olaf/Rakan/Senna/Twitch,5,5,0.5
Aphelios/Braum/Olaf/Rakan/Senna/Wukong,5,5,0.56
Aphelios/Braum/Olaf/Rakan/Senna/Yone,5,5,0.56
Aphelios/Braum/Olaf/Rell/Sejuani/Senna,5,5,0.56
Aphelios/Braum/Olaf/Rell/Sejuani/Skarner,5,5,0.56
Aphelios/Braum/Olaf/Rell/Sejuani/Sylas,5,5,0.5
Aphelios/Braum/Olaf/Rell/Sejuani/Wukong,5,5,0.56
Aphelios/Braum/Olaf/Rell/Sejuani/Yone,5,5,0.56
Aphelios/Braum/Olaf/Rell/Sejuani/Zac,5,5,0.56
Aphelios/Braum/Olaf/Rell/Sejuani/Zeri,5,5,0.56
Aphelios/Braum/Qiyana/Rakan/Rengar/Senna,5,5,0.62
Aphelios/Braum/Rakan/Rell/Sejuani/Senna,6,6,0.75
Aphelios/Braum/Rakan/Rell/Sejuani/Zeri,5,5,0.56
Aphelios/Braum/Rakan/Rell/Senna/Seraphine,5,5,0.56
Aphelios/Braum/Rakan/Rell/Senna/Twitch,5,5,0.56
Aphelios/Braum/Rakan/Rengar/Sejuani/Senna,5,5,0.56
Aphelios/Braum/Rakan/Rengar/Senna/Seraphine,5,5,0.56
Aphelios/Braum/Rakan/Rengar/Senna/Twitch,5,5,0.56
Aphelios/Braum/Rakan/Sejuani/Senna/Seraphine,5,5,0.5
Aphelios/Braum/Rakan/Senna/Seraphine/Twitch,5,5,0.5
Aphelios/Braum/Rakan/Senna/Seraphine/Zyra,5,5,0.56
Aphelios/Braum/Rakan/Senna/Twitch/Varus,5,5,0.56
Aphelios/Braum/Rell/Sejuani/Senna/Sett,5,5,0.62
Aphelios/Braum/Rell/Sejuani/Senna/Zac,5,5,0.62
Aphelios/Braum/Rell/Sejuani/Zac/Zeri,5,5,0.71
