Name,Classes,Origins,Cost,Health,Mana,Armor,MR,Ability Power,DPS,Damage,Atk Spd,Crit Rate,Range
Ahri,Scholar,Arcana,2,550 / 990 / 1782,40,20,20,100,30 / 54 / 97,40 / 72 / 130,0.75,25%,4
Akali,Multistriker/Warrior,Pyro,2,700 / 1260 / 2268,10 / 70,45,45,100,41 / 74 / 134,55 / 99 / 178,0.75,25%,1
Ashe,Multistriker,Eldritch,1,450 / 810 / 1458,30 / 80,15,15,100,35 / 63 / 113,50 / 90 / 162,0.7,25%,4
Bard,Preserver/Scholar,Sugarcraft,3,700 / 1260 / 2268,10 / 75,25,25,100,30 / 54 / 97,40 / 72 / 130,0.75,25%,4
Blitzcrank,Vanguard,Honeymancy,1,650 / 1170 / 2106,40 / 90,40,40,100,39 / 69 / 125,70 / 126 / 227,0.55,25%,1
Briar,Shapeshifter,Eldritch/Ravenous,5,1200 / 2160 / 3888,80,60,60,100,48 / 86 / 156,60 / 108 / 194,0.8,25%,1
Camille,Multistriker,Chrono,5,1200 / 2160 / 3888,30 / 100,60,60,100,77 / 138 / 248,85 / 153 / 275,0.9,25%,1
Cassiopeia,Incantor,Witchcraft,2,600 / 1080 / 1944,50,20,20,100,23 / 41 / 73,30 / 54 / 97,0.75,25%,4
Diana,Bastion,Frost,5,1200 / 2160 / 3888,40 / 120,60,60,100,51 / 92 / 165,60 / 108 / 194,0.85,25%,1
Elise,Shapeshifter,Eldritch,1,700 / 1260 / 2268,30 / 90,40,40,100,30 / 54 / 97,50 / 90 / 162,0.6,25%,1
Ezreal,Blaster,Portal,3,700 / 1260 / 2268,15 / 75,25,25,100,45 / 81 / 146,60 / 108 / 194,0.75,25%,4
Fiora,Warrior,Witchcraft,4,1150 / 2070 / 3726,70 / 130,50,50,100,75 / 135 / 243,75 / 135 / 243,1,25%,1
Galio,Mage/Vanguard,Portal,2,750 / 1350 / 2430,30 / 90,45,45,100,36 / 64 / 116,55 / 99 / 178,0.65,25%,1
Gwen,Warrior,Sugarcraft,4,1100 / 1980 / 3564,40,50,50,100,40 / 72 / 130,50 / 90 / 162,0.8,25%,2
Hecarim,Bastion/Multistriker,Arcana,3,800 / 1440 / 2592,50,50,50,100,52 / 94 / 168,65 / 117 / 211,0.8,25%,1
Hwei,Blaster,Frost,3,650 / 1170 / 2106,40,25,25,100,30 / 54 / 97,40 / 72 / 130,0.75,25%,4
Jax,Multistriker,Chrono,1,650 / 1170 / 2106,20 / 60,45,45,100,24 / 43 / 78,40 / 72 / 130,0.6,25%,1
Jayce,Shapeshifter,Portal,1,600 / 1080 / 1944,60,30,30,100,35 / 63 / 113,50 / 90 / 162,0.7,25%,4
Jinx,Hunter,Sugarcraft,3,650 / 1170 / 2106,50,25,25,100,41 / 74 / 134,55 / 99 / 178,0.75,25%,4
Kalista,Multistriker,Faerie,4,850 / 1530 / 2754,60,30,30,100,45 / 81 / 146,60 / 108 / 194,0.75,25%,4
Karma,Incantor,Chrono,4,850 / 1530 / 2754,30,30,30,100,38 / 68 / 122,50 / 90 / 162,0.75,25%,4
Kassadin,Multistriker,Portal,2,700 / 1260 / 2268,30 / 70,45,45,100,34 / 61 / 109,45 / 81 / 146,0.75,25%,1
Katarina,Warrior,Faerie,3,800 / 1440 / 2592,20 / 80,45,45,100,38 / 68 / 122,50 / 90 / 162,0.75,25%,1
KogMaw,Hunter,Honeymancy,2,550 / 990 / 1782,15 / 75,20,20,100,39 / 69 / 125,55 / 99 / 178,0.7,25%,4
Lillia,Bastion,Faerie,1,650 / 1170 / 2106,50 / 110,40,40,100,27 / 49 / 87,45 / 81 / 146,0.6,25%,1
Milio,Scholar,Faerie,5,900 / 1620 / 2916,40 / 110,40,40,100,40 / 72 / 130,50 / 90 / 162,0.8,25%,4
Mordekaiser,Vanguard,Eldritch,3,850 / 1530 / 2754,40,50,50,100,36 / 65 / 117,60 / 108 / 194,0.6,25%,1
Morgana,Bat Queen/Preserver,Witchcraft,5,1100 / 1980 / 3564,40 / 110,60,60,100,40 / 72 / 130,50 / 90 / 162,0.8,25%,2
Nami,Mage,Eldritch,4,850 / 1530 / 2754,50,30,30,100,36 / 65 / 117,45 / 81 / 146,0.8,25%,4
Nasus,Shapeshifter,Pyro,4,1100 / 1980 / 3564,80,60,60,100,42 / 76 / 137,65 / 117 / 211,0.65,25%,1
Neeko,Shapeshifter,Witchcraft,3,900 / 1620 / 2916,50 / 125,45,45,100,33 / 59 / 105,50 / 90 / 162,0.65,25%,1
Nilah,Warrior,Eldritch,2,700 / 1260 / 2268,60,35,35,100,44 / 79 / 143,55 / 99 / 178,0.8,25%,2
Nomsy,Hunter,Dragon,1,500 / 900 / 1620,15 / 60,15,15,100,35 / 63 / 113,50 / 90 / 162,0.7,25%,4
Norra & Yuumi,Best Friends/Mage,Portal,5,900 / 1620 / 2916,30 / 90,40,40,100,40 / 72 / 130,50 / 90 / 162,0.8,25%,4
Nunu,Bastion,Honeymancy,2,800 / 1440 / 2592,25 / 75,45,45,100,30 / 54 / 97,50 / 90 / 162,0.6,25%,1
Olaf,Hunter,Frost,4,1150 / 2070 / 3726,30 / 80,60,60,100,60 / 107 / 193,70 / 126 / 227,0.85,25%,1
Poppy,Bastion,Witchcraft,1,650 / 1170 / 2106,30 / 80,40,40,100,30 / 54 / 97,50 / 90 / 162,0.6,25%,1
Rakan,Preserver,Faerie,4,1100 / 1980 / 3564,60 / 140,60,60,100,42 / 76 / 136,60 / 108 / 194,0.7,25%,1
Rumble,Blaster/Vanguard,Sugarcraft,2,800 / 1440 / 2592,20 / 60,45,45,100,33 / 59 / 105,50 / 90 / 162,0.65,25%,1
Ryze,Scholar,Portal,4,850 / 1530 / 2754,15 / 90,30,30,100,32 / 58 / 104,40 / 72 / 130,0.8,25%,4
Seraphine,Mage,Faerie,1,500 / 900 / 1620,10 / 70,15,15,100,25 / 44 / 79,35 / 63 / 113,0.7,25%,4
Shen,Bastion,Pyro,3,850 / 1530 / 2754,40 / 100,50,50,100,42 / 76 / 136,60 / 108 / 194,0.7,25%,1
Shyvana,Shapeshifter,Dragon,2,800 / 1440 / 2592,70,40,40,100,36 / 64 / 116,55 / 99 / 178,0.65,25%,1
Smolder,Blaster,Dragon,5,1000 / 1800 / 3240,30 / 100,50,50,100,64 / 115 / 207,75 / 135 / 243,0.85,25%,5
Soraka,Mage,Sugarcraft,1,450 / 810 / 1458,20 / 60,15,15,100,28 / 50 / 91,40 / 72 / 130,0.7,25%,4
Swain,Shapeshifter,Frost,3,900 / 1620 / 2916,70 / 140,45,45,100,36 / 65 / 117,60 / 108 / 194,0.6,25%,1
Syndra,Incantor,Eldritch,2,550 / 990 / 1782,60,20,20,100,30 / 54 / 97,40 / 72 / 130,0.75,25%,4
Tahm Kench,Vanguard,Arcana,4,1050 / 1890 / 3402,80 / 180,60,60,100,39 / 69 / 125,70 / 126 / 227,0.55,25%,1
Taric,Bastion,Portal,4,1100 / 1980 / 3564,50 / 100,60,60,100,39 / 70 / 126,60 / 108 / 194,0.65,25%,1
Tristana,Blaster,Faerie,2,550 / 990 / 1782,60,20,20,100,41 / 74 / 134,55 / 99 / 178,0.75,25%,4
Twitch,Hunter,Frost,1,450 / 810 / 1458,40,15,15,100,35 / 63 / 113,50 / 90 / 162,0.7,25%,4
