Name,Classes,Origins,Cost
Akali,Quickstriker,Rebel,2
Ambessa,Quickstriker,Conqueror/Emissary,4
Amumu,Watcher,Automata,1
Blitzcrank,Dominator,Automata,3
Caitlyn,Sniper,Enforcer,5
Camille,Ambusher,Enforcer,2
Cassiopeia,Dominator,Black Rose,3
Corki,Artillerist,Scrap,4
Darius,Watcher,Conqueror,1
Dr Mundo,Dominator,Experiment,4
Draven,Pit Fighter,Conqueror,1
Ekko,Ambusher,Firelight/Scrap,4
Elise,Bruiser/Form Swapper,Black Rose,4
Ezreal,Artillerist,Academy/Rebel,3
Gangplank,Form Swapper/Pit Fighter,Scrap,3
Garen,Watcher,Emissary,4
Heimerdinger,Visionary,Academy,4
Illaoi,Sentinel,Rebel,4
Irelia,Sentinel,Rebel,1
Jayce,Form Swapper,Academy,5
Jinx,Ambusher,Rebel,5
Kogmaw,Sniper,Automata,3
Leblanc,Sorcerer,Black Rose,5
Leona,Sentinel,Academy,2
Loris,Sentinel,Enforcer,3
Lux,Sorcerer,Academy,1
Maddie,Sniper,Enforcer,1
Malzahar,Visionary,Automata,5
Mordekaiser,Dominator,Conqueror,5
Morgana,Visionary,Black Rose,1
Nami,Sorcerer,Emissary,3
Nocturne,Quickstriker,Automata,2
Nunu,Bruiser/Visionary,Experiment,3
Powder,Ambusher,Family/Scrap,1
Rell,Sentinel/Visionary,Conqueror,2
Renata,Visionary,Chem-Baron,2
Renni,Bruiser,Chem-Baron,3
Rumble,Sentinel,Junker King/Scrap,5
Scar,Watcher,Firelight,3
Sett,Bruiser,Rebel,2
Sevika,Pit Fighter,Chem-Baron/High Roller,5
Silco,Dominator,Chem-Baron,4
Singed,Sentinel,Chem-Baron,1
Smeech,Ambusher,Chem-Baron,3
Steb,Bruiser,Enforcer,1
Swain,Form Swapper/Sorcerer,Conqueror,3
Tristana,Artillerist,Emissary,2
Trundle,Bruiser,Scrap,1
Twisted Fate,Quickstriker,Enforcer,3
Twitch,Sniper,Experiment,4
Urgot,Artillerist/Pit Fighter,Experiment,2
Vander,Watcher,Family,2
Vex,Visionary,Rebel,1
Vi,Pit Fighter,Enforcer,4
Violet,Pit Fighter,Family,1
Vladimir,Sorcerer/Watcher,Black Rose,2
Zeri,Sniper,Firelight,2
Ziggs,Dominator,Scrap,2
Zoe,Sorcerer,Rebel,4
Zyra,Sorcerer,Experiment,1
