Champion;Cost;Origin;Class;Health;Armor;Attack Damage;Attack Speed;DPS;Mana;Carry;Tank
Alistar;3;Ox Force;Aegis/Mascot;800;50;50;0.55;28;75/150;0;0
Annie;2;Gadgeteen/Ox Force;Spellslinger;750;40;40;0.60;24;0/65;0;0
Aphelios;5;Arsenal/Ox Force;Sureshot;800;30;90;0.90;81;40/120;0;0
Ashe;1;LaserCorps;Recon;500;15;70;0.70;49;0/80;0;0
Aurelion Sol;4;Threat;Threat;1100;30;40;0.70;28;0/90;0;0
BelVeth;4;Threat;Threat;1250;50;90;0.90;81;0/20;0;0
Blitzcrank;1;A.D.M.I.N.;Brawler;650;40;50;0.50;25;45/90;0;0
Camille;2;A.D.M.I.N.;Renegade;750;45;75;0.75;56;0/70;0;0
Cho'Gath;3;Threat;;1200;55;60;0.60;36;40/120;0;0
Draven;2;Mecha: PRIME;Ace;600;20;75;0.70;53;0/80;0;0
Ekko;4;Star Guardian;Aegis/Prankster;1250;60;60;0.60;36;75/175;0;0
Ezreal;2;Underground;Recon;550;20;45;0.70;32;0/60;0;0
Fiddlesticks;5;Threat;Corrupted;1200;50;50;0.75;38;90/90;0;0
Fiora;2;Ox Force;Duelist;800;40;50;0.75;38;0/80;0;0
Galio;1;Civilian;Mascot;650;40;50;0.55;28;60/120;0;0
Gangplank;1;Supers;Duelist;650;30;50;0.65;33;0/50;0;0
Janna;5;Civilian;Forecaster;800;35;50;0.75;38;70/140;0;0
Jax;3;Mecha: PRIME;Brawler;800;50;70;0.90;63;-;0;0
Jinx;2;Anima Squad;Prankster;550;20;45;0.70;32;25/75;0;0
Kai'Sa;3;Star Guardian;Recon;650;25;40;0.80;32;0/60;0;0
Kayle;1;Underground;Duelist;500;15;60;0.65;39;0/30;0;0
LeBlanc;3;A.D.M.I.N.;Hacker/Spellslinger;900;30;45;0.70;32;0/70;0;0
Lee Sin;2;Supers;Brawler/Heart;700;45;60;0.65;39;0/70;0;0
Leona;5;Mecha: PRIME;Aegis/Renegade;1000;60;75;0.80;60;20/80;0;0
Lulu;1;Gadgeteen;Heart;500;15;30;0.70;21;0/60;0;0
Lux;1;Star Guardian;Spellslinger;500;15;40;0.65;26;30/90;0;0
Malphite;2;Supers;Mascot;700;45;60;0.50;30;40/80;0;0
MissFortune;4;Anima Squad;Ace;750;30;60;0.70;42;0/120;0;0
Mordekaiser;5;LaserCorps;Ace;1100;70;70;0.70;49;50/150;0;0
Nasus;1;Anima Squad;Mascot;650;40;70;0.65;46;0/60;0;0
Nilah;3;Star Guardian;Duelist;800;40;50;0.70;35;50/150;0;0
Nunu;5;Gadgeteen;Mascot;1200;60;;0.20;;0/90;0;0
Poppy;1;Gadgeteen;Defender;650;45;60;0.55;33;50/100;0;0
Rammus;3;Threat;Threat;950;105;60;0.60;36;60/120;0;0
Rell;2;Star Guardian;Defender;750;50;60;0.50;30;75/175;0;0
Renekton;1;LaserCorps;Brawler;650;40;50;0.65;33;0/50;0;0
Riven;3;Anima Squad;Brawler/Defender;750;45;50;0.65;33;30/100;0;0
Samira;4;Underground;Ace/Sureshot;950;30;80;0.75;60;0/70;0;0
Sejuani;4;LaserCorps;Brawler;900;60;70;0.55;39;50/150;0;0
Senna;3;LaserCorps;Sureshot;650;25;75;0.70;53;0/80;0;0
Sett;4;Mecha: PRIME;Defender;900;60;100;0.65;65;70/140;0;0
Sivir;2;Civilian;Sureshot;600;20;75;0.75;56;0/80;0;0
Sona;3;Underground;Heart/Spellslinger;900;25;40;0.70;28;0/40;0;0
Soraka;4;A.D.M.I.N.;Heart;1000;30;50;0.65;33;0/200;0;0
Sylas;1;Anima Squad;Renegade;650;40;50;0.60;30;30/80;0;0
Syndra;5;Star Guardian;Heart;850;40;50;0.80;40;100/175;0;0
Taliyah;4;Star Guardian;Spellslinger;700;30;45;0.75;34;0/90;0;0
Talon;1;Ox Force;Renegade;550;25;55;0.65;36;0/70;0;0
Urgot;5;Threat;Threat;1100;50;99;1.00;99;100/175;0;0
Vayne;3;Anima Squad;Duelist/Recon;850;25;75;0.75;56;0/40;0;0
Velkoz;3;Threat;Threat;750;30;50;0.65;33;0/60;0;0
Vi;2;Underground;Aegis/Brawler;700;45;60;0.60;36;0/80;0;0
Viego;4;Ox Force;Renegade;1050;50;60;0.75;45;0/75;0;0
Wukong;1;Mecha: PRIME;Defender;650;40;60;0.60;36;50/100;0;0
Yasuo;2;LaserCorps;Duelist;750;40;50;0.70;35;20/100;0;0
Yuumi;2;Star Guardian;Heart/Mascot;550;20;40;0.65;26;30/75;0;0
Zac;4;Threat;Threat;1050;65;75;0.75;56;0/100;0;0
Zed;4;LaserCorps;Duelist/Hacker;1150;50;90;0.85;77;0/40;0;0
Zoe;3;Gadgeteen;Hacker/Prankster;850;20;40;0.70;28;0/40;0;0
